label	preciseRegion	broadRegion
Brain - Amygdala	Amygdala	Amygdala
Brain - Anterior cingulate cortex (BA24)	Anterior cingulate cortex	Cerebral cortex
Brain - Caudate (basal ganglia)	Caudate	Basal ganglia
Brain - Cerebellar Hemisphere	Cerebellar hemisphere	Cerebellum
Brain - Cerebellum	Cerebellum	Cerebellum
Brain - Cortex	Cerebral cortex	Cerebral cortex
Brain - Frontal Cortex (BA9)	Frontal cortex	Cerebral cortex
Brain - Hippocampus	Hippocampus	Hippocampus
Brain - Hypothalamus	Hypothalamus	Hypothalamus
Brain - Nucleus accumbens (basal ganglia)	Nucleus accumbens	Basal ganglia
Brain - Putamen (basal ganglia)	Putamen	Basal ganglia
Brain - Spinal cord (cervical c-1)	Spinal cord	Spinal cord
Brain - Substantia nigra	Substantia nigra	Basal ganglia
amygdala_adult	Amygdala	Amygdala
caudate_nucleus_adult	Caudate	Basal ganglia
putamen_adult	Putamen	Basal ganglia
globus_pallidus_adult	Globus pallidus	Basal ganglia
substantia_nigra_adult	Substantia nigra	Basal ganglia
nucleus_accumbens_adult	Nucleus accumbens	Basal ganglia
brain_adult	Brain	Brain
brain_fetal	Brain	Brain
neurons	Neurons	Brain
astrocytoma_cell_line	Astrocytoma	Brain tumour
neuroectodermal_tumor_cell_line	Neuroectodermal tumour	Brain tumour
glioma_cell_line	Glioma	Brain tumour
neuroepithelioma_cell_line	Neuroepithelioma	Brain tumour
medulloblastoma_cell_line	Medulloblastoma	Brain tumour
neurofibroma_cell_line	Neurofibroma	Brain tumour
meningioma_cell_line	Meningioma	Brain tumour
schwannoma_cell_line	Schwannoma	Brain tumour
neuroblastoma_cell_line	Neuroblastoma	Brain tumour
astrocyte_-_cerebellum	Cerebellum	Cerebellum
cerebellum_adult	Cerebellum	Cerebellum
astrocyte_-_cerebral_cortex	Cerebral cortex	Cerebral cortex
occipital_lobe_fetal	Occipital lobe	Cerebral cortex
frontal_lobe_adult	Frontal lobe	Cerebral cortex
occipital_pole_adult	Occipital pole	Cerebral cortex
insula_adult	Insula	Cerebral cortex
paracentral_gyrus_adult	Paracentral gyrus	Cerebral cortex
medial_frontal_gyrus_adult	Medial frontal gyrus	Cerebral cortex
parietal_lobe_adult	Parietal lobe	Cerebral cortex
medial_temporal_gyrus	Medial temporal gyrus	Cerebral cortex
parietal_lobe_fetal	Parietal lobe	Cerebral cortex
medial_temporal_gyrus_adult	Temporal gyrus	Cerebral cortex
postcentral_gyrus_adult	Postcentral gyrus	Cerebral cortex
occipital_cortex_adult	Occipital cortex	Cerebral cortex
temporal_lobe_adult	Temporal lobe	Cerebral cortex
occipital_lobe_adult	Occipital lobe	Cerebral cortex
temporal_lobe_fetal	Temporal lobe	Cerebral cortex
corpus_callosum_adult	Corpus callosum	Corpus callosum
diencephalon_adult	Diencephalon	Diencephalon
pineal_gland_adult	Pineal gland	Diencephalon
hippocampus_adult	Hippocampus	Hippocampus
clontech_human_universal_reference_total_rna	Human	Human
pituitary_gland_adult	Pituitary gland	Hypothalamus
cerebral_meninges_adult	Meninges	Meninges
meningeal_cells	Meninges	Meninges
dura_mater_adult	Dura mater	Meninges
olfactory_region_adult	Olfactory region	Olfactory region
locus_coeruleus_adult	Locus coeruleus	Pons and medulla
pons_adult	Pons	Pons and medulla
medulla_oblongata_adult	Medulla oblongata	Pons and medulla
anulus_pulposus_cell	Annulus pulposus	Spinal cord
spinal_cord_adult	Spinal cord	Spinal cord
nucleus_pulposus_cell	Nucleus pulposus	Spinal cord
spinal_cord_fetal	Spinal cord	Spinal cord
thalamus_adult	Thalamus	Thalamus
